id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price_per_night,minimum_nights,annual_availability
16278781,Kick Back on the Terrace of a Classic Home,8320838,Gràcia,la Vila de Gràcia,41.39752895,2.15546206,Entire home/apt,380,2,312
16279645,"Study in the center, in Gracia",94858265,Gràcia,la Vila de Gràcia,41.4011806,2.161239719,Entire home/apt,50,3,123
16280942,Piso inam,19303419,Sant Martí,el Poblenou,41.40276907,2.20245962,Shared room,35,1,88
16287127,YH7/3-Berna BJ2 | Cozy Apartment exclusive Design,14979846,Sarrià-Sant Gervasi,el Putxet i el Farró,41.4056477,2.14765163,Entire home/apt,55,32,190
16292600,BCN Luxury,15944590,Eixample,l'Antiga Esquerra de l'Eixample,41.38606922,2.162637982,Entire home/apt,195,4,313
16293013,"❥ COZY, QUIET & CENTRIC DOUBLE ROOM WIFI",4391784,Eixample,el Fort Pienc,41.39685783,2.186270699,Private room,30,3,311
16294662,Double room in Villa de Gracia,106602227,Gràcia,la Vila de Gràcia,41.40130706,2.156723447,Private room,40,1,0
16297576,Cómoda habitación en la Sagrada Familia,106625869,Eixample,la Sagrada Família,41.4107284,2.174451053,Private room,18,2,0
16298584,Nice room! Very well connected,43277739,Nou Barris,el Turó de la Peira,41.43183617,2.16816989,Private room,37,1,0
16306389,Relaxing Room in Sagrada Familia,36607755,Eixample,la Sagrada Família,41.40496155,2.17968971,Private room,40,32,365
16306731,Perfect and Shinny Room,36607755,Eixample,la Sagrada Família,41.40510731,2.179243475,Private room,28,32,364
16306813,Habitación Soleada en Sagrada Familia,36607755,Eixample,la Sagrada Família,41.40335455,2.180201397,Private room,47,32,365
16307165,Habitación Cómoda en Piso Soleado,36607755,Eixample,la Sagrada Família,41.40382891,2.179266864,Private room,40,32,365
16307658,Room for 10 people private ensuite-near Park Güell,7778897,Gràcia,la Salut,41.41170891,2.155954539,Private room,250,1,0
16307921,"Shared 12 beds dorm in Gracia, near Park Güell",7778897,Gràcia,la Salut,41.41292672,2.156279835,Shared room,30,1,334
16307967,Habitación Moderna,36607755,Eixample,la Sagrada Família,41.40520363,2.181065673,Private room,31,32,311
